input,output
Japan's capital please,Tokyo
capital city of JAPAN,Tokyo
What is the capital of Japan 🇯🇵?,Tokyo
The capital of France is...?,Paris
Name France's capital city.,Paris
france capital pls,Paris
Capital for Canada?,Ottawa
canada — what's the capital?,Ottawa
Tell me Canada's capital city,Ottawa
Australia capital?,Canberra
capital of australia pls,Canberra
Which is Australia’s capital city?,Canberra
capital of brazil (quick),Brasília
What's Brazil's capital city?,Brasília
brazil: name the capital,Brasília
egypt capital now?,Cairo
Capital city of Egypt please.,Cairo
Which city is Egypt’s capital?,Cairo
kenya’s capital city is what?,Nairobi
Give me Kenya's capital.,Nairobi
capital of KENYA?,Nairobi
"For Spain, name the capital.",Madrid
spain capital please!,Madrid
Which is Spain’s capital city?,Madrid
italy — capital city?,Rome
Remind me Italy’s capital.,Rome
capital of ITALY??,Rome
What's Germany’s capital?,Berlin
Name the capital city of Germany.,Berlin
germany: capital city pls,Berlin
"For South Korea, give capital.",Seoul
south korea capital please,Seoul
Capital city of South Korea?,Seoul
What's the capital of India?,New Delhi
india capital now?,New Delhi
Name India’s capital city.,New Delhi
Just say hello.,Hello
Greet me in one sentence.,Hello
Say “hello” once.,Hello
